,user,date,tweet,link,no of comments
0,@kmjrated,"Dec 25, 2023 · 1:31 PM UTC","OMG WINTER OF AESPA, GIRLFRIEND",https://twitter.com/kmjrated/status/1739277736714141756#m,2
1,@Monaae_,"Dec 26, 2023 · 2:56 AM UTC",My mama made seafood macaroni and I cannot stop eating it omg,https://twitter.com/Monaae_/status/1739480185701888127#m,0
2,@gay4wannie,"Dec 26, 2023 · 1:16 AM UTC",omg judge wendy 😳💙,https://twitter.com/gay4wannie/status/1739455160651522494#m,0
3,@jadawadas,"Jun 10, 2023 · 1:45 AM UTC",This is such a beautiful reason to learn ASL omg,https://twitter.com/jadawadas/status/1667347191466192896#m,645
4,@taeguide,"Dec 26, 2023 · 1:41 AM UTC",OMG,https://twitter.com/taeguide/status/1739461313212915875#m,157
5,@HR_6IX,"Dec 25, 2023 · 4:09 PM UTC",Omg they picked the wrong brother 😭😭😭,https://twitter.com/HR_6IX/status/1739317484707066270#m,17
6,@kazuswir,"Dec 26, 2023 · 2:56 AM UTC",OMG ACERTEI MTO KAUDJWLSJKW,https://twitter.com/kazuswir/status/1739480183709508058#m,0
7,@samah_fadil,"Dec 25, 2023 · 1:54 PM UTC",this is so good omg,https://twitter.com/samah_fadil/status/1739283396193305020#m,19
8,@bemindlee,"Dec 26, 2023 · 12:31 AM UTC",Sbs อีดอก อุบาทว์สัส ไม่ขอโทษไม่พอ แต่ยังมาบอกว่าเพราะศลปไม่เห็นลิฟต์เลยทำให้ตกลงไป ควยเถอะ เหี้ยมากกกกกก,https://twitter.com/bemindlee/status/1739443744301289973#m,0
9,@Ginnookami2,"Dec 26, 2023 · 2:56 AM UTC",Omg :o,https://twitter.com/Ginnookami2/status/1739480180907712626#m,0
